Name,Day,Category,Compound,Complements
Barbell Bench Press,Push,Chest,TRUE,"Standing Cable Fly, Pec Deck, Low-High Cable Fly, Close Grip Dumbell Press, Incline Dumbell Press"
Incline Dumbell Press,Push,Chest,TRUE,"Barbell Bench Press, Cable Fly, Dumbell Fly, Pushups, Chest Dip"
Standing Cable Fly,Push,Chest,FALSE,"Barbell Bench Press, Incline Dumbell Press, Dumbell Bench Press, Chest Press, Pushups, Chest Dips"
Dumbell Flys,Push,Chest,FALSE,"Barbell Bench Press, Incline Dumbell Press, Dumbell Bench Press, Chest Press, Pushups, Chest Dips"
Pec Deck,Push,Chest,FALSE,"Barbell Bench Press, Incline Dumbell Press, Dumbell Bench Press, Chest Press, Pushups, Chest Dips"
Dumbell Bench Press,Push,Chest,TRUE,"Standing Cable Fly, Pec Deck, Low-High Cable Fly, Close Grip Dumbell Press, Incline Dumbell Press"
Incline Barbell Bench Press,Push,Chest,TRUE,"Barbell Bench Press, Cable Fly, Dumbell Fly, Pushups, Chest Dip"
Close Grip Dumbell Press,Push,Chest,FALSE,"Barbell Bench Press, Incline Dumbell Press, Dumbell Bench Press, Chest Press, Pushups, Chest Dips. Standing Cable Fly, Dumbell Fly"
Chest Press,Push,Chest,FALSE,"Standing Cable Fly, Pec Deck, Low-High Cable Fly, Close Grip Dumbell Press, Incline Dumbell Press"
Chest Dip,Push,Chest,FALSE,"Standing Cable Fly, Pec Deck, Low-High Cable Fly, Close Grip Dumbell Press, Incline Dumbell Press"
Low-High Cable Fly,Push,Chest,FALSE,"Barbell Bench Press, Incline Dumbell Press, Dumbell Bench Press, Chest Press, Pushups, Chest Dips"
Push Ups,Push,Chest,FALSE,All
Overhead Press,Push,Shoulder,TRUE,
Dumbell Shoulder Press,Push,Shoulder,FALSE,
Dumbell Lateral Raise,Push,Shoulder,FALSE,
Cable Lateral Raise,Push,Shoulder,FALSE,
Dumbell Front Raise,Push,Shoulder,FALSE,
Machine Shoulder Press,Push,Shoulder,FALSE,
Dip,Push,Tricep,FALSE,
Cable Kickback,Push,Tricep,FALSE,
Dumbell Tricep Extension,Push,Tricep,FALSE,
Cable Tricep Extension,Push,Tricep,FALSE,
Cable Tricep Pushdown,Push,Tricep,FALSE,
Skull Crusher,Push,Tricep,FALSE,
Rope Tricep Extension,Push,Tricep,FALSE,
Close Grip Press,Push,Tricep,FALSE,
Bent Over Row,Pull,Back,TRUE,
Seated Cable Row,Pull,Back,FALSE,
One Arm Dumbell Row,Pull,Back,FALSE,
T-Bar Row,Pull,Back,TRUE,
Machine Row,Pull,Back,FALSE,
Seated Cable Low Row,Pull,Back,FALSE,
Wide Grip Pull Up,Pull,Lats,TRUE,
Wide Grip Lat Pull Down,Pull,Lats,TRUE,
Straight Arm Lat Pull Down,Pull,Lats,FALSE,
V-Bar Pull Down,Pull,Lats,FALSE,
Dumbell Reverse Fly,Pull,Rear Delts,FALSE,
Face Pull,Pull,Rear Delts,FALSE,
Cable Reverse Fly,Pull,Rear Delts,FALSE,
Chin Up,Pull,Biceps,TRUE,
Preacher Curl,Pull,Biceps,FALSE,
Single Arm Preacher Curl,Pull,Biceps,FALSE,
Concentration Curl,Pull,Biceps,FALSE,
Hammer Curls,Pull,Biceps,FALSE,
Barbell Sevens,Pull,Biceps,FALSE,
Cable Curl,Pull,Biceps,FALSE,
Barbell Drag Curl,Pull,Biceps,FALSE,
Lean Back Curl,Pull,Biceps,FALSE,
Dumbell Shrug,Pull,Trap,FALSE,
Squats,Legs,Quad,TRUE,
Hack Squats,Legs,Quad,TRUE,
Leg Press (Low),Legs,Quad,FALSE,
Leg Extension,Legs,Quad,FALSE,
Sissy Squats,Legs,Quad,FALSE,
Forward Lunge,Legs,Quad,TRUE,
Reverse Lunge,Legs,Hamstring,TRUE,
Deadlift,Legs,Hamstring,TRUE,
Leg Press (High),Legs,Hamstring,FALSE,
Seated Leg Curl,Legs,Hamstring,FALSE,
Leg Curl,Legs,Hamstring,FALSE,
RDL,Legs,Hamstring,TRUE,
Trap Bar Deadlift,Legs,Hamstring,TRUE,
Nordic Hamstring Curl,Legs,Hamstring,FALSE,
Standing Calf Raise,Legs,Calves,FALSE,
Seated Calf Extension,Legs,Calves,FALSE,
Sumo Deadlift,Legs,Glutes,TRUE,
Glute Bridge,Legs,Glutes,FALSE,
Barbell Hip Thrust,Legs,Glutes,TRUE,
Glute Kickback,Legs,Glutes,FALSE,
